epoch,step,global_step,lr,grad_norm,l1_masked,perceptual,color_moment,saturation,border,bg_tv,bg_delta,edge_coherence,total,weight_l1_masked,weight_perceptual,weight_color_moment,weight_saturation,weight_border,weight_bg_tv,weight_bg_delta,weight_edge_coherence
1,10,10,1.00e-03,32.6065,0.07632439583539963,2.4153645038604736,0.058584313839673996,0.06973964720964432,0.06507178395986557,0.007934898138046265,0.02323390170931816,0.12343116849660873,2.110471725463867,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
1,20,20,1.00e-03,13.1508,0.06002087518572807,2.011967182159424,0.035406701266765594,0.0462980642914772,0.05089053884148598,0.006709388457238674,0.02113070711493492,0.10712773352861404,1.6761958599090576,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
1,30,30,1.00e-03,14.6451,0.05126188322901726,1.591641902923584,0.030681516975164413,0.05031566321849823,0.04516267776489258,0.006457743234932423,0.02209135890007019,0.0955648347735405,1.4647173881530762,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
1,40,40,1.00e-03,18.2682,0.05392458662390709,1.78854238986969,0.030786246061325073,0.047988321632146835,0.04851134493947029,0.006065596826374531,0.022988900542259216,0.10603480041027069,1.5775562524795532,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
1,50,50,1.00e-03,20.5803,0.06439774483442307,1.965525507926941,0.0446934700012207,0.061407119035720825,0.056704260408878326,0.006374894175678492,0.024369416758418083,0.10673389583826065,1.8069382905960083,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
1,60,60,1.00e-03,14.7737,0.04294018819928169,1.4622429609298706,0.01944062113761902,0.04272562265396118,0.03854842483997345,0.007191210985183716,0.02739739418029785,0.09018129855394363,1.2775630950927734,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
1,70,70,1.00e-03,32.3808,0.044245366007089615,1.8353323936462402,0.0199369378387928,0.05242466181516647,0.03983799368143082,0.007278988137841225,0.028920218348503113,0.09736760705709457,1.3652352094650269,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
1,80,80,1.00e-03,29.7243,0.02992457151412964,1.1582964658737183,0.0149797722697258,0.02769109606742859,0.027238808572292328,0.005487306043505669,0.02317061275243759,0.07938887923955917,0.9575343132019043,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
1,90,90,1.00e-03,10.3606,0.03713087737560272,1.4686095714569092,0.013018451631069183,0.047622330486774445,0.033855099231004715,0.0066827028058469296,0.024765601381659508,0.08702315390110016,1.1550127267837524,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
1,100,100,1.00e-03,30.3064,0.041233744472265244,1.528679370880127,0.01881648227572441,0.041319649666547775,0.03795972838997841,0.006581018678843975,0.024748018011450768,0.0925920158624649,1.2678476572036743,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
1,110,110,1.00e-03,22.3719,0.04703256115317345,1.6470674276351929,0.027884861454367638,0.0402180552482605,0.04161655530333519,0.006246339995414019,0.024194177240133286,0.09579424560070038,1.3876793384552002,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
1,120,120,1.00e-03,15.3078,0.04049847275018692,1.5553457736968994,0.017010828480124474,0.045259468257427216,0.03637464717030525,0.00620721559971571,0.025736313313245773,0.08408310264348984,1.2194044589996338,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
2,10,133,9.99e-04,16.4269,0.04389359429478645,1.5943175554275513,0.020990580320358276,0.05158410221338272,0.039086855947971344,0.006023794412612915,0.022314555943012238,0.09127150475978851,1.3059605360031128,5.0,0.1,1.5,0.3,16.0,0.7,1.0,2.5
